split	genre	dataset	year	sid	score	sentence1	sentence2
train	main-captions	MSRvid	2012test	0040	5.000	المرأة تعزف على الناي.	امرأة تعزف على الفلوت.
train	main-captions	MSRvid	2012test	0042	4.200	أرنب يركض من نسر.	الأرنب يركض من النسر.
train	main-captions	MSRvid	2012test	0044	4.200	المرأة تقلي قطعة من لحم الخنزير المخبوز.	امرأة تطبخ قطعة من لحم الخنزير المخبوز.
train	main-captions	MSRvid	2012test	0046	4.000	فتاة تطير طائرة ورقية.	فتاة تجري تطير طائرة ورقية.
train	main-captions	MSRvid	2012test	0047	4.000	رجل يركب ثورًا ميكانيكيًا.	ركب رجل ثورًا ميكانيكيًا.
train	main-captions	MSRvid	2012test	0048	4.909	الرجل يعزف على الجيتار.	رجل يعزف على الجيتار.
train	main-captions	MSRvid	2012test	0050	3.000	امرأة ترقص وتغني مع نساء أخريات.	امرأة ترقص وتغني تحت المطر.
train	main-captions	MSRvid	2012test	0052	2.400	رجل يقطع كعكة.	رجل يقطع بصلة.
train	main-captions	MSRvid	2012test	0053	4.200	رجل يصب الزيت في وعاء.	رجل يصب الزيت في المقلاة.
train	main-captions	MSRvid	2012test	0054	3.400	أسد يلعب مع الناس.	أسد يلعب مع رجلين.
train	main-captions	MSRvid	2012test	0055	5.000	كلب يركب لوح التزلج.	كلب يركب لوح التزلج.
train	main-captions	MSRvid	2012test	0056	3.750	شخص ما ينحت تمثالا.	رجل ينحت تمثالا.
train	main-captions	MSRvid	2012test	0057	2.750	امرأة تقطع البصل.	رجل يقطع بصلة.
train	main-captions	MSRvid	2012test	0058	5.000	امرأة تقشر الجمبري.	امرأة تقشر الجمبري.
train	main-captions	MSRvid	2012test	0059	4.000	امرأة تقلي السمك.	امرأة تطبخ السمك.
train	main-captions	MSRvid	2012test	0061	3.600	امرأة تعزف على الجيتار الكهربائي.	امرأة تعزف على الجيتار.
train	main-captions	MSRvid	2012test	0062	1.600	نمر صغير يلعب بالكرة.	طفل يلعب بدمية.
train	main-captions	MSRvid	2012test	0064	1.750	شخص يقطع الطماطم.	شخص يقطع بعض اللحم.
train	main-captions	MSRvid	2012test	0065	5.000	شخص يقطع بصلة.	شخص يقطع بصلة.
train	main-captions	MSRvid	2012test	0068	1.000	رجل يعزف على البيانو.	امرأة تعزف على الكمان.
train	main-captions	MSRvid	2012test	0069	1.000	امرأة تعزف على الناي.	رجل يعزف على الجيتار.
train	main-captions	MSRvid	2012test	0070	2.375	رجل يقطع البطاطس.	رجل يقطع الجزر.
train	main-captions	MSRvid	2012test	0071	3.800	طفل يعزف على الجيتار.	صبي يعزف على الجيتار.
train	main-captions	MSRvid	2012test	0072	3.200	صبي يعزف على الجيتار.	رجل يعزف على الجيتار.
train	main-captions	MSRvid	2012test	0073	3.200	رجل يعزف على الجيتار.	صبي يعزف على الجيتار.
train	main-captions	MSRvid	2012test	0075	4.400	طفل صغير يلعب بلوحة المفاتيح.	صبي يلعب لوحة المفاتيح.
train	main-captions	MSRvid	2012test	0077	3.750	رجل يعزف على الجيتار.	رجل يعزف على الجيتار الكهربائي.
train	main-captions	MSRvid	2012test	0078	4.750	كلب يلعق طفلا.	كلب يلعق طفلاً.
train	main-captions	MSRvid	2012test	0080	3.200	امرأة تقطع البصل.	رجل يقطع والبصل.
train	main-captions	MSRvid	2012test	0081	1.556	رجل يعزف على الجيتار.	رجل يعزف على الطبول.
train	main-captions	MSRvid	2012test	0083	3.938	امرأة تقطع الفلفل.	امرأة تقطع الفلفل الأحمر.
train	main-captions	MSRvid	2012test	0084	5.000	رجل يعزف على الطبول.	رجل يعزف على الطبل.
train	main-captions	MSRvid	2012test	0085	5.000	امرأة تركب الحصان.	امرأة تركب حصانًا.
train	main-captions	MSRvid	2012test	0086	4.000	رجل يأكل موزة بجوار الشجرة.	رجل يأكل موزة.
train	main-captions	MSRvid	2012test	0087	1.600	قطة تلعب بلوحة المفاتيح.	رجل يعزف على لوحتي مفاتيح.
train	main-captions	MSRvid	2012test	0089	4.750	رجل يقطع شجرة بفأس.	رجل قطع شجرة بفأس.
train	main-captions	MSRvid	2012test	0090	3.500	طفل يلعب بهاتف لعبة.	طفل صغير يلعب بهاتف لعبة.
train	main-captions	MSRvid	2012test	0093	1.400	رجل يركب دراجة نارية.	رجل يركب حصانا.
train	main-captions	MSRvid	2012test	0094	1.400	رجل يركب دراجة نارية.	رجل يركب حصانا.
train	main-captions	MSRvid	2012test	0099	4.000	السنجاب يدور في دوائر.	السنجاب يدور في دوائر.
train	main-captions	MSRvid	2012test	0101	5.000	رجل وامرأة يقبلان.	رجل وامرأة يقبلان.
train	main-captions	MSRvid	2012test	0102	3.833	رجل يدخل السيارة.	رجل يركب سيارة في المرآب.
train	main-captions	MSRvid	2012test	0104	0.600	رجل يرقص.	رجل يتحدث.
train	main-captions	MSRvid	2012test	0105	2.917	رجل يعزف على الجيتار ويغني.	رجل يعزف على الجيتار.
train	main-captions	MSRvid	2012test	0106	4.200	شخص يقطع الفطر.	شخص يقطع الفطر بالسكين.
train	main-captions	MSRvid	2012test	0108	2.000	شبل النمر يصدر صوتا.	نمر يتجول.
train	main-captions	MSRvid	2012test	0109	2.600	شخص يقطع البصل .	شخص يقشر البصل.
train	main-captions	MSRvid	2012test	0110	1.600	رجل يعزف على البيانو.	رجل يعزف على البوق.
train	main-captions	MSRvid	2012test	0111	2.000	امرأة تقشر البطاطس.	امرأة تقشر تفاحة.
train	main-captions	MSRvid	2012test	0112	4.200	البانكدا يأكل الخيزران.	دب الباندا يأكل بعض الخيزران.
train	main-captions	MSRvid	2012test	0113	2.000	شخص يقشر البصل.	شخص يقشر الباذنجان.
train	main-captions	MSRvid	2012test	0114	4.800	قرد يدفع قردا آخر.	دفع القرد القرد الآخر.
train	main-captions	MSRvid	2012test	0115	4.400	السنجاب يدور في دوائر.	السنجاب يتحرك في دوائر.
train	main-captions	MSRvid	2012test	0116	5.000	رجل يربط حذائه.	رجل يربط حذائه.
train	main-captions	MSRvid	2012test	0117	3.000	صبي يغني ويعزف على البيانو.	صبي يعزف على البيانو.
train	main-captions	MSRvid	2012test	0118	4.250	كلب يأكل البطيخ.	كلب يأكل قطعة من البطيخ.
train	main-captions	MSRvid	2012test	0119	4.250	امرأة تقطع البروكلي.	امرأة تقطع البروكلي بسكين.
train	main-captions	MSRvid	2012test	0120	3.800	رجل يقشر البطاطس.	رجل يقشر البطاطس.
train	main-captions	MSRvid	2012test	0121	2.400	امرأة تعزف على الجيتار.	رجل يعزف على الجيتار.
train	main-captions	MSRvid	2012test	0123	1.600	امرأة تقطع الطماطم.	رجل يقطع البصل.
train	main-captions	MSRvid	2012test	0125	2.000	رجل يسبح تحت الماء.	امرأة تسبح تحت الماء.
train	main-captions	MSRvid	2012test	0126	1.600	رجل وامرأة يتحدثان.	رجل وامرأة يأكلان.
train	main-captions	MSRvid	2012test	0129	4.000	كلب صغير يطارد كرة يوجا.	كلب يطارد الكرة.
train	main-captions	MSRvid	2012test	0130	2.200	الرجال يلعبون لعبة الكريكيت.	الرجال يلعبون كرة السلة.
train	main-captions	MSRvid	2012test	0131	4.400	رجل يركب دراجة نارية.	رجل يركب دراجة نارية.
train	main-captions	MSRvid	2012test	0132	3.600	رجل يعزف على الجيتار.	رجل يغني ويعزف على الجيتار.
train	main-captions	MSRvid	2012test	0133	3.600	تحدث الرجل على الهاتف.	الرجل يتحدث على الهاتف.
train	main-captions	MSRvid	2012test	0135	0.500	رجل يصطاد السمك.	رجل يمارس الرياضة.
train	main-captions	MSRvid	2012test	0136	0.800	رجل يرتقي.	رجل يتحدث.
train	main-captions	MSRvid	2012test	0138	0.600	صبيان يقودان السيارة.	خليجان يرقصان.
train	main-captions	MSRvid	2012test	0141	2.600	رجل يركب حصانا.	فتاة تركب الحصان.
train	main-captions	MSRvid	2012test	0142	2.000	رجل يركب دراجة.	قرد يركب دراجة.
train	main-captions	MSRvid	2012test	0143	2.200	رجل يقطع البطاطس.	امرأة تقشر البطاطس.
train	main-captions	MSRvid	2012test	0144	2.400	امرأة تقشر البطاطس.	رجل يقطع البطاطس.
train	main-captions	MSRvid	2012test	0145	3.600	رجل يعزف على الجيتار.	شخص ما يعزف على الجيتار.
train	main-captions	MSRvid	2012test	0148	2.200	امرأة تقطع الكراث.	امرأة تقطع الزنجبيل.
train	main-captions	MSRvid	2012test	0149	4.800	قطع الرجل طبقًا من الورق.	رجل يقطع طبقًا من الورق.
train	main-captions	MSRvid	2012test	0151	1.643	الرجل يعزف على الجيتار.	رجل يعزف على الناي.
train	main-captions	MSRvid	2012test	0152	1.750	رجل يعزف على البيانو.	الرجل يعزف على الكمان.
train	main-captions	MSRvid	2012test	0154	2.250	امرأة تقطع بعض اللحم.	امرأة تخبز بعض اللحم.
train	main-captions	MSRvid	2012test	0155	4.000	رجل يلعب على لوحة المفاتيح الخاصة به.	رجل يعزف على البيانو.
train	main-captions	MSRvid	2012test	0157	4.800	قامت السيدة بتقطيع البصل الأخضر.	قطعت السيدة بصلة خضراء.
train	main-captions	MSRvid	2012test	0158	3.200	شخص ما يجلس المعكرونة في الماء.	امرأة تغلي المعكرونة في الماء.
train	main-captions	MSRvid	2012test	0160	4.000	ليونيل ريتشي يرقص على السقف.	ليونيل ريتشي يرقص وهو واقف على السقف.
train	main-captions	MSRvid	2012test	0161	4.400	رجل يعزف على البيانو.	شخص يعزف على البيانو.
train	main-captions	MSRvid	2012test	0163	4.600	امرأة تعزف على الفلوت.	امرأة تعزف على الناي.
train	main-captions	MSRvid	2012test	0164	3.800	صبي يتحقق من التقويم.	صبي ينظر إلى التقويم.
train	main-captions	MSRvid	2012test	0165	4.800	امرأة تقطع البصل.	امرأة تقطع البصل.
train	main-captions	MSRvid	2012test	0166	4.857	رجل يعزف على الجيتار.	رجل يعزف على الجيتار.
train	main-captions	MSRvid	2012test	0167	5.000	امرأة تستخدم ماكينة الخياطة.	امرأة تقوم بالخياطة على الآلة.
train	main-captions	MSRvid	2012test	0168	2.533	امرأة تقلب الفطائر.	طاهٍ كرتوني يقلب الفطائر.
train	main-captions	MSRvid	2012test	0172	1.000	رجل يركض على الطريق.	سيارة تسير على الطريق.
train	main-captions	MSRvid	2012test	0175	1.000	رجل يركب حصانا.	رجل يتحدث على الهاتف.
train	main-captions	MSRvid	2012test	0176	2.000	رجل يركب دراجة.	رجل يركب حصانا.
train	main-captions	MSRvid	2012test	0178	0.143	امرأة ترقص.	رجل يأكل.
train	main-captions	MSRvid	2012test	0179	2.000	رجل يعزف على البيانو.	رجل يعزف على الناي.
train	main-captions	MSRvid	2012test	0180	1.600	رجل يعزف على الناي.	رجل يعزف على البيانو.
train	main-captions	MSRvid	2012test	0182	1.600	رجل يدور.	رجل يرقص.
train	main-captions	MSRvid	2012test	0184	3.400	قرد يتأرجح من طرف إلى طرف.	قرد يتأرجح من شجرة إلى أخرى.
train	main-captions	MSRvid	2012test	0185	4.000	نزل الناس من القطار.	نزل الناس من القطار في المحطة.
train	main-captions	MSRvid	2012test	0187	4.800	كلب يقفز على الترامبولين.	كلب يقفز على الترامبولين.
train	main-captions	MSRvid	2012test	0188	2.500	صبي يعزف على آلة موسيقية.	رجل يعزف على البوق.
train	main-captions	MSRvid	2012test	0190	1.750	امرأة تعزف على الجيتار.	رجل يغني ويعزف على الجيتار.
train	main-captions	MSRvid	2012test	0191	1.000	امرأة تختار علبة.	امرأة تقطع الطماطم.
train	main-captions	MSRvid	2012test	0192	5.000	رجل يتسلق الحبل.	رجل يتسلق الحبل.
train	main-captions	MSRvid	2012test	0193	1.400	رجل يرفع سيارة.	رجل يتسلق الجدار.
train	main-captions	MSRvid	2012test	0195	4.000	رجل وامرأة يقودان سيارة جيب في الشارع.	رجل وامرأة يقودان السيارة على الطريق في الهواء الطلق.
train	main-captions	MSRvid	2012test	0196	3.800	جلس الرجل بلا قميص على كرسي.	رجل بلا قميص يجلس على كرسي.
train	main-captions	MSRvid	2012test	0198	4.000	امرأتان تتصارعان.	امرأتان تتصارعان على الأرض.
train	main-captions	MSRvid	2012test	0199	4.000	كان الجرو يلعب بكرة تنس زرقاء.	جرو يلعب بكرة التنس.
train	main-captions	MSRvid	2012test	0200	4.800	الكنغر يأكل شيئا.	الكنغر يأكل.
train	main-captions	MSRvid	2012test	0201	0.600	قطة تعزف على البيانو.	رجل يعزف على الجيتار.
train	main-captions	MSRvid	2012test	0202	4.750	قطع الرجل بعض السجاد بسكين.	رجل يقطع السجادة بالسكين.
train	main-captions	MSRvid	2012test	0203	2.200	امرأة تركب دراجة نارية على الطريق.	رجل يركب دراجة نارية.
train	main-captions	MSRvid	2012test	0204	3.000	شخص ما يقطع الخضار.	شخص ما يقطع الطماطم.
train	main-captions	MSRvid	2012test	0205	0.000	امرأة ترقص.	رجل يتحدث.
train	main-captions	MSRvid	2012test	0207	2.200	كلب يلعق لعاب طفل.	كلب يلعق طفلا.
train	main-captions	MSRvid	2012test	0208	0.400	رجل يجدف بالقارب.	رجل يقطع الطماطم.
train	main-captions	MSRvid	2012test	0210	4.800	رجل يقطع البطاطس.	رجل يقطع البطاطس.
train	main-captions	MSRvid	2012test	0212	4.800	امرأة تقطع الثوم.	المرأة تقطع الثوم.
train	main-captions	MSRvid	2012test	0214	3.800	حيوان يركض في دوائر.	السنجاب يركض في دوائر.
train	main-captions	MSRvid	2012test	0215	3.000	رجل يسير ببطء عبر جسر من الحبال.	صبي يسير عبر الجسر.
train	main-captions	MSRvid	2012test	0216	4.000	رجل يعزف على الجيتار.	رجل يجلس في غرفة ويعزف على الجيتار.
train	main-captions	MSRvid	2012test	0217	5.000	رجل يعزف على الناي.	رجل يعزف على الناي.
train	main-captions	MSRvid	2012test	0221	3.800	امرأة تكسر بيضتين في وعاء زجاجي.	امرأة تكسر بيضة في وعاء.
train	main-captions	MSRvid	2012test	0223	3.000	رجل يقطع سمكة.	رجل يصطاد سمكة.
train	main-captions	MSRvid	2012test	0224	4.400	رجلان يقومان بتعبئة الحقائب في صندوق السيارة.	يقوم الرجال بوضع الحقائب في صندوق السيارة.
train	main-captions	MSRvid	2012test	0226	3.800	رجل يصب الزيت على بعض الطماطم.	سكب الرجل الزيت على الطماطم المقطعة.
train	main-captions	MSRvid	2012test	0227	3.000	رجل يقطع شيئا.	رجل يقطع كعكة.
train	main-captions	MSRvid	2012test	0230	0.667	رجل يجدف بقارب.	رجل يعزف على القيثارة.
train	main-captions	MSRvid	2012test	0231	4.000	رجل وامرأة يسيران معًا عبر الغابة.	رجل وامرأة يسيران جنبًا إلى جنب عبر منطقة حرجية.
train	main-captions	MSRvid	2012test	0233	3.750	التقطت المرأة الكنغر.	امرأة تلتقط طفل الكنغر.
train	main-captions	MSRvid	2012test	0234	4.133	الأسماك تسبح.	سمكة تسبح.
train	main-captions	MSRvid	2012test	0235	4.000	امرأتان تخلطان شيئًا ما في معالج الطعام.	امرأتان تصنعان شيئًا ما في الخلاط.
train	main-captions	MSRvid	2012test	0237	3.600	شخص يركب موجة كبيرة.	شخص يتصفح.
train	main-captions	MSRvid	2012test	0238	1.200	رجل يعزف على الجيتار.	رجل يطعن الهدف.
train	main-captions	MSRvid	2012test	0239	1.600	رجل يعزف على الفلوت في فرقة موسيقية.	رجل يعزف على الجيتار.
train	main-captions	MSRvid	2012test	0240	4.000	ففرش الرجل الزبدة على رغيف الخبز.	رجل يدهن الزبدة على الخبز.
train	main-captions	MSRvid	2012test	0241	4.000	شخص يغلي الشعرية.	امرأة تغلي المعكرونة في الماء.
train	main-captions	MSRvid	2012test	0243	3.200	مجموعة من الناس يرقصون على التل.	مجموعة من الناس يرقصون.
train	main-captions	MSRvid	2012test	0245	1.000	رجل يرقص في الخارج.	رجل يعزف على الناي.
train	main-captions	MSRvid	2012test	0246	1.000	امرأة تطعم رجلا.	امرأة تخلط اللحم.
train	main-captions	MSRvid	2012test	0247	0.600	رجل يضع مقلاة في الفرن.	امرأة تقطع البصل.
train	main-captions	MSRvid	2012test	0249	0.400	امرأة تجلس على مكتب.	امرأة تركب حماراً.
train	main-captions	MSRvid	2012test	0250	3.400	مسعفون ينقلون مريضًا على نقالة.	طبيب ينقل مريضًا على نقالة.
train	main-captions	MSRvid	2012test	0252	3.600	امرأة تعزف على الناي على المسرح.	المرأة تعزف على الناي.
train	main-captions	MSRvid	2012test	0254	3.000	يلعب اثنان من صغار الباندا.	اثنان من حيوانات الباندا مستلقيان معًا.
train	main-captions	MSRvid	2012test	0256	4.000	طفل يضحك.	طفل يضحك ويضحك.
train	main-captions	MSRvid	2012test	0257	1.200	رجل يعزف على الجيتار.	صبي يعزف على البيانو.
train	main-captions	MSRvid	2012test	0259	0.600	رجل يطوي الورق.	امرأة تقطع الفلفل.
train	main-captions	MSRvid	2012test	0260	1.600	ثلاث نساء يرقصن.	الرجل يرقص.
train	main-captions	MSRvid	2012test	0262	2.600	القطط تلعب مع بعضها البعض.	قطتان تتقاتلان مع بعضهما البعض.
train	main-captions	MSRvid	2012test	0263	3.600	شخص يكتب.	شخص يكتب بقلم رصاص.
train	main-captions	MSRvid	2012test	0267	3.500	رجل يركض.	رجل يركض في الطريق.
train	main-captions	MSRvid	2012test	0268	3.765	المرأة تدحرج العجين.	امرأة تطحن العجين وتدحرجه.
train	main-captions	MSRvid	2012test	0269	2.750	امرأة تضيف البهارات على اللحم.	امرأة تضيف السكر إلى اللحم.
train	main-captions	MSRvid	2012test	0270	2.250	امرأة تضيف الزيت على الأسماك.	امرأة تصب الماء على السمك.
train	main-captions	MSRvid	2012test	0271	2.750	صبي صغير يحمل الغيتار.	طفل صغير يعزف على الجيتار.
train	main-captions	MSRvid	2012test	0272	3.800	الفهد يجري.	الفهد يركض عبر الحقل.
train	main-captions	MSRvid	2012test	0273	4.800	الرجل يأكل البيتزا.	رجل يأكل شريحة من البيتزا.
train	main-captions	MSRvid	2012test	0274	3.600	إنسان الغاب يركب الحافلة.	قرد يركب في الحافلة.
train	main-captions	MSRvid	2012test	0275	1.200	رجل وامرأة يتحدثان في العشاء.	رجل وامرأة يركبان دراجة.
train	main-captions	MSRvid	2012test	0277	0.400	رجل يعزف على الجيتار.	رجل يقوم بتنظيف باب زجاجي.
train	main-captions	MSRvid	2012test	0278	2.400	فتاة تغني وتعزف على الجيتار.	شاب يغني وهو يعزف على الجيتار.
train	main-captions	MSRvid	2012test	0282	3.941	فتاة تتواصل بلغة الإشارة.	فتاة صغيرة تستخدم لغة الإشارة.
train	main-captions	MSRvid	2012test	0283	0.500	امرأة تمارس تمارين الأثقال.	امرأة تقوم بشعرها.
train	main-captions	MSRvid	2012test	0284	3.750	رجل يدخل داخل السيارة.	رجل مسن يركب سيارة حمراء.
train	main-captions	MSRvid	2012test	0285	4.000	كرة خضراء كبيرة تضرب حبة بطاطس.	كرة خضراء كبيرة تضرب حبة بطاطس.
train	main-captions	MSRvid	2012test	0287	3.000	قطة تلعب بلوحات المفاتيح.	قطة تعزف على البيانو.
train	main-captions	MSRvid	2012test	0288	4.200	كلبان يسبحان في حوض السباحة.	الكلاب تسبح في بركة.
train	main-captions	MSRvid	2012test	0290	2.000	استخدم الرجل المروحية لتقطيع البصل.	استخدم الرجل آلة لتقطيع البطاطس.
train	main-captions	MSRvid	2012test	0291	5.000	امرأة تقطع شرائح التوفو.	امرأة تقطع التوفو.
train	main-captions	MSRvid	2012test	0292	3.000	قطيع من الغزلان يعبر الشارع.	قطيع من الوعل يعبر الطريق.
train	main-captions	MSRvid	2012test	0293	3.800	الشخص يركب الحصان.	رجل يركب حصانا.
train	main-captions	MSRvid	2012test	0294	0.000	شخص ما يطعم حيوانا.	شخص ما يعزف على البيانو.
train	main-captions	MSRvid	2012test	0295	0.000	شخص ما يقوم بتقطيع التورتيلا.	شخص ما يركب الحصان.
train	main-captions	MSRvid	2012test	0296	0.250	شخص ما يخلط المكونات.	شخص ما يخيط الأشياء.
train	main-captions	MSRvid	2012test	0297	4.000	الديك ينقر على فأر ميت.	دجاجة تنقر على فأر ميت.
train	main-captions	MSRvid	2012test	0298	3.250	امرأة تحمل الكنغر.	امرأة تلتقط الكنغر.
train	main-captions	MSRvid	2012test	0299	0.750	رجل يلعب مع الضفادع	قطة تلعب بالكاميرا.
train	main-captions	MSRvid	2012test	0300	1.500	رجلان يتحدثان.	رجلان يعزفان على الجيتار.
train	main-captions	MSRvid	2012test	0303	3.500	رجل يدهن الزبدة على قطعة كبيرة من الخبز.	رجل يدهن الزبدة على شريحة من خبز الثوم.
train	main-captions	MSRvid	2012test	0304	3.000	رجل يركض عبر سلك عالي.	رجل يركض على الحبل.
train	main-captions	MSRvid	2012test	0307	0.200	رجل يجز العشب.	امرأة تقطع ليمونة.
train	main-captions	MSRvid	2012test	0309	0.800	رجل يفتح الباب.	رجل يعزف على الجيتار.
train	main-captions	MSRvid	2012test	0311	4.200	رجل يقطع البطاطس إلى قطع.	رجل يقطع البطاطس.
train	main-captions	MSRvid	2012test	0312	3.800	المرأة تقطع الأخطبوط المطبوخ.	امرأة تقطع الأخطبوط.
train	main-captions	MSRvid	2012test	0314	0.400	رجل يثقب الألواح.	كلب يجري في الماء.
train	main-captions	MSRvid	2012test	0316	0.800	رجل يرقص.	رجل يأكل خبزا.
train	main-captions	MSRvid	2012test	0317	1.200	شخص ما يعزف على البيانو.	رجل يعزف على الجيتار.
train	main-captions	MSRvid	2012test	0318	2.800	ثعلبان يأكلان من طبق في فناء من الطوب.	الثعالب تأكل من طبق.
train	main-captions	MSRvid	2012test	0319	3.200	صبي يلعب بلوحة المفاتيح.	صبي يعزف على البيانو.
train	main-captions	MSRvid	2012test	0320	5.000	شخص يلعب على لوحة المفاتيح.	شخص ما يلعب على لوحة المفاتيح.
train	main-captions	MSRvid	2012test	0322	0.000	رجل يطلق النار من بندقية.	رجل يبصق.
train	main-captions	MSRvid	2012test	0323	1.000	شخص ما يقطع البصل.	شخص ما يقشر البطاطس.
train	main-captions	MSRvid	2012test	0325	0.000	رجل يسبح.	امرأة تقطع اللحم.
train	main-captions	MSRvid	2012test	0327	3.750	رجل يعزف على الجيتار.	رجل يعزف على الجيتار الصوتي.
train	main-captions	MSRvid	2012test	0328	0.400	امرأة تقطع اليقطين.	امرأة تركب فيلًا.
train	main-captions	MSRvid	2012test	0329	0.400	امرأة ترقص.	امرأة تعجن العجين.
train	main-captions	MSRvid	2012test	0331	0.600	امرأة تكسر البيض في وعاء.	امرأة تضع الأسياخ على الرف.
train	main-captions	MSRvid	2012test	0332	4.000	سيارة تتحرك عبر الطريق.	سيارة تسير على الطريق.
train	main-captions	MSRvid	2012test	0334	0.400	شخص ما يدهن المقلاة.	سميوني يستلقي.
train	main-captions	MSRvid	2012test	0335	0.400	رجل يعزف على الجيتار.	رجل يستنزف المعكرونة.
train	main-captions	MSRvid	2012test	0336	0.400	امرأة تشرب الفودكا.	امرأة تمارس الرياضة.
train	main-captions	MSRvid	2012test	0339	4.800	امرأة تقطع اللحم إلى قطع.	امرأة تقطع بعض اللحم.
train	main-captions	MSRvid	2012test	0342	0.600	رجل يشطف شريحة لحم.	رجل يعزف على الجيتار.
train	main-captions	MSRvid	2012test	0344	0.800	رجل يبيع أشياء.	رجل يقوم بتنظيف المنزل.
train	main-captions	MSRvid	2012test	0347	3.200	رجل يقفز على الحائط.	رجل يقفز على جدار قصير.
train	main-captions	MSRvid	2012test	0348	3.200	يتسابق المتسابقون حول المسار.	العدائين يتنافسون في السباق.
train	main-captions	MSRvid	2012test	0349	0.600	رجل يركل كرة القدم.	رجل يخلط وعاء.
train	main-captions	MSRvid	2012test	0350	0.600	امرأة تقلي شيئا.	امرأة تركب حصانًا.
train	main-captions	MSRvid	2012test	0351	0.000	قطة تلعق مصاصة.	امرأة تقطع الخيار.
train	main-captions	MSRvid	2012test	0352	1.400	امرأة ترقص بجوار النار.	امرأة تستحم.
train	main-captions	MSRvid	2012test	0355	2.200	الرجل يقطع سمكة مفتوحة.	رجل يقطع البطاطس.
train	main-captions	MSRvid	2012test	0357	3.600	تذوب الزبدة في مقلاة.	رجل يذوب الزبدة في مقلاة.
train	main-captions	MSRvid	2012test	0359	3.111	ثلاثة أولاد يرقصون.	الاطفال يرقصون.
train	main-captions	MSRvid	2012test	0360	0.600	امرأة تلعب لعبة مع رجل.	رجل يعزف على البيانو.
train	main-captions	MSRvid	2012test	0361	0.400	الرجل يقود سيارة بيضاء.	رجل يجري مقابلة.
train	main-captions	MSRvid	2012test	0365	4.250	رجل قاد سيارته.	رجل يقود سيارة.
train	main-captions	MSRvid	2012test	0366	3.000	سيارة تتراجع من الفضاء.	سيارة تتراجع عن طريق مسدود.
